2025-06-22 13:02:12 [main] INFO  net.adventuregame.game.AdventureMain - Launching at 1600x900

2025-06-22 13:02:16 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:16 [main] INFO  net.adventuregame.models.TexturedModel - Created Textured Model With
2025-06-22 13:02:16 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:16 [main] INFO  net.adventuregame.models.TexturedModel - Created Textured Model With
2025-06-22 13:02:17 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:17 [main] INFO  net.adventuregame.models.TexturedModel - Created Textured Model With
2025-06-22 13:02:17 [main] INFO  com.chidozie.core.terrains.HeightsGenerator - Generated A Seed
2025-06-22 13:02:38 [main] INFO  com.chidozie.core.terrains.Terrain - Generated Terrain of 0.0x-2000.0
2025-06-22 13:02:38 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:38 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:48 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.TexturedModel - Created Textured Model With
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.TexturedModel - Created Textured Model With
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.TexturedModel - Created Textured Model With
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.TexturedModel - Created Textured Model With
2025-06-22 13:02:49 [main] INFO  net.adventuregame.game.GameState - Pistol: pistol
2025-06-22 13:02:49 [main] INFO  net.adventuregame.game.GameState - Katana: katana
2025-06-22 13:02:49 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:50 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:50 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:50 [main] INFO  net.adventuregame.particles.ParticleShader - numberOfRowsLocation: 0
2025-06-22 13:02:50 [main] INFO  net.adventuregame.particles.ParticleShader - projectionMatrixLocation: 1
2025-06-22 13:02:50 [main] INFO  net.adventuregame.models.RawModel - CREATED A RAW MODEL
2025-06-22 13:02:59 [main] INFO  net.adventuregame.items.entities.ItemEntity - Added to Inventory
2025-06-22 13:02:59 [main] INFO  net.adventuregame.items.entities.ItemEntity - Added to Inventory
2025-06-22 13:02:59 [main] INFO  net.adventuregame.story.StoryHandler - Found the 'Lost Sword'
2025-06-22 13:02:59 [main] INFO  net.adventuregame.save.SaveManager - ✅ Game saved to C:\Users\uzowu\IdeaProjects\AdventureGame\saves\world.json
